Date,Open,High,Low,Close,Volume,counter,ticker,rel_change
20210210,315.56,316.25,314.645,316.23,13,1002106,DE,0.2123209532260084
20210210,1882.69,1894.0,1878.0,1894.0,61,1002107,MELI,0.6007361806776412
20210210,343.33,343.74,342.34,343.18,70,1002108,LMT,-0.04368974456061547
20210210,194.0,194.32,193.7,194.1,38,1002109,TGT,0.051546391752577136
20210210,106.86,107.38,106.45,107.22,1657,1002110,AMAT,0.3368893879842849
20210210,62.47,64.05,61.22,63.31,6263,1002111,NIO,1.3446454298063015
20210210,282.15,285.32,281.77,284.5,65,1002112,EL,0.8328903065745186
20210210,35.8,35.83,35.69,35.72,483,1002113,GSK,-0.22346368715083775
20210210,83.98,84.44,83.16,83.38,2882,1002114,MU,-0.7144558228149633
20210210,63.435,63.77,63.23,63.49,482,1002115,SNAP,0.08670292425316806
20210210,243.87,243.87,243.52,243.52,3,1002116,SYK,-0.14351908803870161
20210210,786.91,790.9,786.91,790.43,138,1002117,ISRG,0.4473192614149024
20210210,17.7,17.74,17.59,17.645,4359,1002118,VALE,-0.3107344632768294
20210210,324.8,327.04,319.99,321.69,199,1002119,SNOW,-0.9575123152709364
20210210,309.92,322.81,306.25,317.82,5528,1002120,BIDU,2.5490449148167116
20210210,38.1,38.23,38.07,38.15,445,1002121,BTI,0.1312335958005173
20210210,66.67,70.76,66.67,68.66,907,1002136,BEKE,2.9848507574621097
20210210,299.49,300.1,299.0,299.21,43,1002137,ANTM,-0.09349227019267436
20210210,255.18,256.56,255.09,256.02,20,1002133,BDX,0.3291794027745043
20210210,43.61,43.92,43.58,43.755,458,1002130,MO,0.3324925475808316
20210210,55.62,55.62,53.43,53.58,5703,1002132,GM,-3.6677454153182243
20210210,161.44,162.62,161.2,162.06,72,1002138,ZTS,0.384043607532214
20210210,113.94,114.35,112.45,112.85,1343,1002139,FISV,-0.9566438476391159
20210210,2116.3,2116.3,2095.23,2100.55,55,1002123,BKNG,-0.7442234087794763
20210210,67.47,68.02,67.15,67.85,2724,1002125,GILD,0.5632132799762823
20210210,108.02,108.7,107.73,108.39,49,1002129,PLD,0.34252916126644717
20210210,21.33,21.515,21.33,21.5,2471,1002141,BP,0.7969995311767564
20210210,17.82,17.82,17.7,17.7,338,1002134,INFY,-0.6734006734006814
20210210,107.73,107.73,107.26,107.26,6,1002135,CNI,-0.4362758748723605
20210210,133.255,133.95,132.93,133.27,116,1002124,FIS,0.011256613260290926
20210210,533.0,533.19,528.0,530.34,188,1002140,LRCX,-0.4990619136960528
20210210,68.74,69.15,68.74,69.0,123,1002126,TJX,0.3782368344486642
20210210,212.29,213.165,211.9,212.795,139,1002127,CI,0.23788214235243021
20210210,334.63,335.29,333.93,333.93,62,1002131,SPGI,-0.20918626542748564
20210210,133.2,133.2,130.6,131.68,669,1002122,NTES,-1.141141141141122
